public_product_id,product_name,public_pack_size,category,source_url
PUB001,UHT Fresh Milk Green Farm No Sugar,,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-green-farm-nguyen-chat
PUB002,Green Farm Low-Sugar Sterilized Fresh Milk,180ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-green-farm-rat-it-duong
PUB003,Vinamilk Nutritional Milk No Sugar,,Nutritional Milk,https://www.vinamilk.com.vn/en/products/sua-dinh-duong-khong-duong
PUB004,UHT Fresh Milk 100% Low-Fat Banana Flavor,180ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-vinamilk-giam-beo-vi-chuoi-180ml
PUB005,UHT Fresh Milk 100% Low Sugar,220ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-it-duong
PUB006,Vinamilk High-Protein Nut Milk No Sugar,180ml,Nut Milk,https://www.vinamilk.com.vn/en/products/sua-hat-cao-dam-khong-duong-vinamilk
PUB007,UHT Fresh Milk 100% Corn Flavor,,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-100-bap
PUB008,Vinamilk Soy Milk with Fresh Milk Low Sugar,180ml,Soy Milk,https://www.vinamilk.com.vn/en/products/sua-dau-nanh-sua-tuoi-vinamilk
PUB009,UHT Fresh Milk 100% No Sugar,,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-khong-duong
PUB010,UHT Fresh Milk 100% Melon Flavor,180ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-100-dua-luoi
PUB011,Optimum A2 Pro+ Ready-to-Drink Formula,180ml,Ready-to-Drink Formula,https://www.vinamilk.com.vn/en/products/sudd-optimum-a2-pro
PUB012,Vinamilk Nutritional Milk Sweetened,,Nutritional Milk,https://www.vinamilk.com.vn/en/products/sua-dinh-duong-co-duong
PUB013,Moc Chau Creamery UHT Fresh Milk Low Sugar,180ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-it-duong-moc-chau-creamery
PUB014,Green Farm High-Protein Low-Fat Lactose-Free Milk,,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-cao-dam-it-beo-vinamilk-green-farm
PUB015,UHT Fresh Milk 100% Low-Fat Chocolate,180ml,Fresh Milk,https://www.vinamilk.com.vn/en/products/sua-tuoi-tiet-trung-100-tach-beo-socola-dam-dac-hop
