recommendation_id,recommendation_type,sku_id,lot_id,source_location_id,target_location_id,proposed_qty,adjusted_qty,reason,status,created_at,data_status
REC0001,REPLENISHMENT,SKU002,LOT0005,LOC01,LOC01,3256,2604,Projected shortage of 3256 units over the remaining 75-day horizon.,APPROVED,2026-08-05T15:00:00,synthetic
REC0002,REPLENISHMENT,SKU002,LOT0006,LOC01,LOC01,3314,3314,Projected shortage of 3314 units over the remaining 74-day horizon.,PENDING,2026-08-05T14:00:00,synthetic
REC0003,REPLENISHMENT,SKU002,LOT0007,LOC01,LOC01,3203,3203,Projected shortage of 3203 units over the remaining 74-day horizon.,REJECTED,2026-08-05T13:00:00,synthetic
REC0004,REPLENISHMENT,SKU002,LOT0008,LOC01,LOC01,5388,5388,Projected shortage of 5388 units over the remaining 122-day horizon.,PENDING,2026-08-05T12:00:00,synthetic
REC0005,EXPIRY_ACTION,SKU003,LOT0009,LOC01,,1493,1194,Projected surplus of 1493 units before expiry; 15 days remaining.,APPROVED,2026-08-05T11:00:00,synthetic
REC0006,REPLENISHMENT,SKU006,LOT0021,LOC01,LOC01,5631,5631,Projected shortage of 5631 units over the remaining 103-day horizon.,REJECTED,2026-08-05T10:00:00,synthetic
REC0007,REPLENISHMENT,SKU006,LOT0022,LOC01,LOC01,4232,4232,Projected shortage of 4232 units over the remaining 78-day horizon.,REJECTED,2026-08-05T09:00:00,synthetic
REC0008,REPLENISHMENT,SKU006,LOT0023,LOC01,LOC01,5895,4716,Projected shortage of 5895 units over the remaining 111-day horizon.,APPROVED,2026-08-05T08:00:00,synthetic
REC0009,REPLENISHMENT,SKU006,LOT0024,LOC01,LOC01,6823,6823,Projected shortage of 6823 units over the remaining 126-day horizon.,REJECTED,2026-08-05T07:00:00,synthetic
REC0010,EXPIRY_ACTION,SKU007,LOT0025,LOC01,,194,155,Projected surplus of 194 units before expiry; 19 days remaining.,APPROVED,2026-08-05T06:00:00,synthetic
REC0011,TRANSFER,SKU008,LOT0029,LOC01,LOC03,777,777,Excess or near-expiry stock at pilot warehouse; transfer quantity based on projected surplus and representative destination demand.,PENDING,2026-08-05T05:00:00,synthetic
REC0012,REPLENISHMENT,SKU010,LOT0037,LOC01,LOC01,1550,1550,Projected shortage of 1550 units over the remaining 79-day horizon.,PENDING,2026-08-05T04:00:00,synthetic
REC0013,REPLENISHMENT,SKU010,LOT0038,LOC01,LOC01,2564,2051,Projected shortage of 2564 units over the remaining 125-day horizon.,APPROVED,2026-08-05T03:00:00,synthetic
REC0014,REPLENISHMENT,SKU010,LOT0039,LOC01,LOC01,1940,1940,Projected shortage of 1940 units over the remaining 96-day horizon.,PENDING,2026-08-05T02:00:00,synthetic
REC0015,REPLENISHMENT,SKU010,LOT0040,LOC01,LOC01,2430,2430,Projected shortage of 2430 units over the remaining 120-day horizon.,PENDING,2026-08-05T01:00:00,synthetic
REC0016,EXPIRY_ACTION,SKU011,LOT0041,LOC01,,1933,1933,Projected surplus of 1933 units before expiry; 16 days remaining.,REJECTED,2026-08-05T00:00:00,synthetic
REC0017,EXPIRY_ACTION,SKU011,LOT0042,LOC01,,628,628,Projected surplus of 628 units before expiry; 24 days remaining.,REJECTED,2026-08-04T23:00:00,synthetic
REC0018,REPLENISHMENT,SKU014,LOT0053,LOC01,LOC01,4072,4072,Projected shortage of 4072 units over the remaining 126-day horizon.,PENDING,2026-08-04T22:00:00,synthetic
REC0019,REPLENISHMENT,SKU014,LOT0054,LOC01,LOC01,2964,2964,Projected shortage of 2964 units over the remaining 92-day horizon.,REJECTED,2026-08-04T21:00:00,synthetic
REC0020,REPLENISHMENT,SKU014,LOT0055,LOC01,LOC01,4500,3600,Projected shortage of 4500 units over the remaining 138-day horizon.,APPROVED,2026-08-04T20:00:00,synthetic
REC0021,REPLENISHMENT,SKU014,LOT0056,LOC01,LOC01,3799,3039,Projected shortage of 3799 units over the remaining 115-day horizon.,APPROVED,2026-08-04T19:00:00,synthetic
REC0022,EXPIRY_ACTION,SKU015,LOT0057,LOC01,,1105,884,Projected surplus of 1105 units before expiry; 16 days remaining.,APPROVED,2026-08-04T18:00:00,synthetic
